=== Snake RL Training Log ===
Started: 2026-05-30 14:32:03
Log file: logs/training_20260530_143203.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.995)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode    1] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9950 | Memory:     25
[Episode    2] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9900 | Memory:     65
[Episode    3] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9851 | Memory:     98
[Episode    4] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9801 | Memory:    122
[Episode    5] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9752 | Memory:    210
[Episode    6] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9704 | Memory:    269
[Episode    7] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9655 | Memory:    359
[Episode    8] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9607 | Memory:    392
[Episode    9] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9559 | Memory:    413
[Episode   10] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9511 | Memory:    462
[Episode   11] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9464 | Memory:    495
[Episode   12] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9416 | Memory:    536
[Episode   13] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9369 | Memory:    574
[Episode   14] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9322 | Memory:    678
[Episode   15] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9276 | Memory:    712
[Episode   16] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9229 | Memory:    754
[Episode   17] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9183 | Memory:    781
[Episode   18] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9137 | Memory:    806
[Episode   19] Score:   1 | Record:   1 | Mean:   0.05 | Epsilon: 0.9092 | Memory:    817
[Episode   20] Score:   0 | Record:   1 | Mean:   0.05 | Epsilon: 0.9046 | Memory:    897
[Episode   21] Score:   0 | Record:   1 | Mean:   0.05 | Epsilon: 0.9001 | Memory:    957
[Episode   22] Score:   1 | Record:   1 | Mean:   0.09 | Epsilon: 0.8956 | Memory:   1030
[Episode   23] Score:   0 | Record:   1 | Mean:   0.09 | Epsilon: 0.8911 | Memory:   1101
[Episode   24] Score:   0 | Record:   1 | Mean:   0.08 | Epsilon: 0.8867 | Memory:   1159
[Episode   25] Score:   0 | Record:   1 | Mean:   0.08 | Epsilon: 0.8822 | Memory:   1204
[Episode   26] Score:   0 | Record:   1 | Mean:   0.08 | Epsilon: 0.8778 | Memory:   1221
[Episode   27] Score:   0 | Record:   1 | Mean:   0.07 | Epsilon: 0.8734 | Memory:   1494
[Episode   28] Score:   1 | Record:   1 | Mean:   0.11 | Epsilon: 0.8691 | Memory:   1539
[Episode   29] Score:   1 | Record:   1 | Mean:   0.14 | Epsilon: 0.8647 | Memory:   1568
