=== Snake RL Training Log ===
Started: 2026-05-30 14:41:10
Log file: logs/training_20260530_144110.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.99)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode   58] Score:   0 | Record:   2 | Mean:   0.17 | Epsilon: 0.5583 | Memory:   3946
[Episode   59] Score:   1 | Record:   2 | Mean:   0.19 | Epsilon: 0.5527 | Memory:   3968
[Episode   60] Score:   0 | Record:   2 | Mean:   0.18 | Epsilon: 0.5472 | Memory:   4005
[Episode   61] Score:   0 | Record:   2 | Mean:   0.18 | Epsilon: 0.5417 | Memory:   4183
[Episode   62] Score:   0 | Record:   2 | Mean:   0.18 | Epsilon: 0.5363 | Memory:   4220
[Episode   63] Score:   0 | Record:   2 | Mean:   0.17 | Epsilon: 0.5309 | Memory:   4268
[Episode   64] Score:   1 | Record:   2 | Mean:   0.19 | Epsilon: 0.5256 | Memory:   4291
[Episode   65] Score:   0 | Record:   2 | Mean:   0.18 | Epsilon: 0.5203 | Memory:   4354
[Episode   66] Score:   1 | Record:   2 | Mean:   0.20 | Epsilon: 0.5151 | Memory:   4463
[Episode   67] Score:   0 | Record:   2 | Mean:   0.19 | Epsilon: 0.5100 | Memory:   4511
[Episode   68] Score:   1 | Record:   2 | Mean:   0.21 | Epsilon: 0.5049 | Memory:   4616
[Episode   69] Score:   0 | Record:   2 | Mean:   0.20 | Epsilon: 0.4998 | Memory:   4667
[Episode   70] Score:   0 | Record:   2 | Mean:   0.20 | Epsilon: 0.4948 | Memory:   4704
[Episode   71] Score:   1 | Record:   2 | Mean:   0.21 | Epsilon: 0.4899 | Memory:   4880
[Episode   72] Score:   1 | Record:   2 | Mean:   0.22 | Epsilon: 0.4850 | Memory:   4963
[Episode   73] Score:   0 | Record:   2 | Mean:   0.22 | Epsilon: 0.4801 | Memory:   5168
[Episode   74] Score:   1 | Record:   2 | Mean:   0.23 | Epsilon: 0.4753 | Memory:   5188
[Episode   75] Score:   0 | Record:   2 | Mean:   0.23 | Epsilon: 0.4706 | Memory:   5235
[Episode   76] Score:   1 | Record:   2 | Mean:   0.24 | Epsilon: 0.4659 | Memory:   5391
[Episode   77] Score:   1 | Record:   2 | Mean:   0.25 | Epsilon: 0.4612 | Memory:   5436
[Episode   78] Score:   0 | Record:   2 | Mean:   0.24 | Epsilon: 0.4566 | Memory:   5454
[Episode   79] Score:   0 | Record:   2 | Mean:   0.24 | Epsilon: 0.4520 | Memory:   5478
[Episode   80] Score:   0 | Record:   2 | Mean:   0.24 | Epsilon: 0.4475 | Memory:   5528
[Episode   81] Score:   0 | Record:   2 | Mean:   0.23 | Epsilon: 0.4430 | Memory:   5567
[Episode   82] Score:   0 | Record:   2 | Mean:   0.23 | Epsilon: 0.4386 | Memory:   5589
[Episode   83] Score:   1 | Record:   2 | Mean:   0.24 | Epsilon: 0.4342 | Memory:   5721
[Episode   84] Score:   0 | Record:   2 | Mean:   0.24 | Epsilon: 0.4299 | Memory:   5823
[Episode   85] Score:   0 | Record:   2 | Mean:   0.24 | Epsilon: 0.4256 | Memory:   5858
[Episode   86] Score:   2 | Record:   2 | Mean:   0.26 | Epsilon: 0.4213 | Memory:   5915
[Episode   87] Score:   0 | Record:   2 | Mean:   0.25 | Epsilon: 0.4171 | Memory:   5992
[Episode   88] Score:   1 | Record:   2 | Mean:   0.26 | Epsilon: 0.4129 | Memory:   6024
[Episode   89] Score:   0 | Record:   2 | Mean:   0.26 | Epsilon: 0.4088 | Memory:   6085
[Episode   90] Score:   0 | Record:   2 | Mean:   0.26 | Epsilon: 0.4047 | Memory:   6146
