=== Snake RL Training Log ===
Started: 2026-05-30 07:50:20
Log file: logs/training_20260530_075020.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.995)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode    1] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9950 | Memory:     50
[Episode    2] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9900 | Memory:     86
[Episode    3] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9851 | Memory:    161
[Episode    4] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9801 | Memory:    344
[Episode    5] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9752 | Memory:    385
[Episode    6] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9704 | Memory:    433
[Episode    7] Score:   0 | Record:   0 | Mean:   0.00 | Epsilon: 0.9655 | Memory:    497
[Episode    8] Score:   1 | Record:   1 | Mean:   0.12 | Epsilon: 0.9607 | Memory:    581
[Episode    9] Score:   0 | Record:   1 | Mean:   0.11 | Epsilon: 0.9559 | Memory:    688
[Episode   10] Score:   0 | Record:   1 | Mean:   0.10 | Epsilon: 0.9511 | Memory:    731
[Episode   11] Score:   1 | Record:   1 | Mean:   0.18 | Epsilon: 0.9464 | Memory:    838
[Episode   12] Score:   0 | Record:   1 | Mean:   0.17 | Epsilon: 0.9416 | Memory:    875
[Episode   13] Score:   0 | Record:   1 | Mean:   0.15 | Epsilon: 0.9369 | Memory:   1008
[Episode   14] Score:   1 | Record:   1 | Mean:   0.21 | Epsilon: 0.9322 | Memory:   1128
[Episode   15] Score:   0 | Record:   1 | Mean:   0.20 | Epsilon: 0.9276 | Memory:   1155
[Episode   16] Score:   0 | Record:   1 | Mean:   0.19 | Epsilon: 0.9229 | Memory:   1252
[Episode   17] Score:   1 | Record:   1 | Mean:   0.24 | Epsilon: 0.9183 | Memory:   1288
[Episode   18] Score:   0 | Record:   1 | Mean:   0.22 | Epsilon: 0.9137 | Memory:   1345
[Episode   19] Score:   1 | Record:   1 | Mean:   0.26 | Epsilon: 0.9092 | Memory:   1405
[Episode   20] Score:   0 | Record:   1 | Mean:   0.25 | Epsilon: 0.9046 | Memory:   1479
[Episode   21] Score:   0 | Record:   1 | Mean:   0.24 | Epsilon: 0.9001 | Memory:   1561
[Episode   22] Score:   0 | Record:   1 | Mean:   0.23 | Epsilon: 0.8956 | Memory:   1680
[Episode   23] Score:   0 | Record:   1 | Mean:   0.22 | Epsilon: 0.8911 | Memory:   1772
[Episode   24] Score:   1 | Record:   1 | Mean:   0.25 | Epsilon: 0.8867 | Memory:   1839
[Episode   25] Score:   0 | Record:   1 | Mean:   0.24 | Epsilon: 0.8822 | Memory:   2038
[Episode   26] Score:   0 | Record:   1 | Mean:   0.23 | Epsilon: 0.8778 | Memory:   2130
[Episode   27] Score:   0 | Record:   1 | Mean:   0.22 | Epsilon: 0.8734 | Memory:   2161
[Episode   28] Score:   0 | Record:   1 | Mean:   0.21 | Epsilon: 0.8691 | Memory:   2199
[Episode   29] Score:   0 | Record:   1 | Mean:   0.21 | Epsilon: 0.8647 | Memory:   2228
[Episode   30] Score:   0 | Record:   1 | Mean:   0.20 | Epsilon: 0.8604 | Memory:   2280
[Episode   31] Score:   0 | Record:   1 | Mean:   0.19 | Epsilon: 0.8561 | Memory:   2328
[Episode   32] Score:   0 | Record:   1 | Mean:   0.19 | Epsilon: 0.8518 | Memory:   2429
[Episode   33] Score:   0 | Record:   1 | Mean:   0.18 | Epsilon: 0.8475 | Memory:   2625
[Episode   34] Score:   0 | Record:   1 | Mean:   0.18 | Epsilon: 0.8433 | Memory:   2753
[Episode   35] Score:   0 | Record:   1 | Mean:   0.17 | Epsilon: 0.8391 | Memory:   2796
[Episode   36] Score:   0 | Record:   1 | Mean:   0.17 | Epsilon: 0.8349 | Memory:   2820
[Episode   37] Score:   0 | Record:   1 | Mean:   0.16 | Epsilon: 0.8307 | Memory:   2897
[Episode   38] Score:   0 | Record:   1 | Mean:   0.16 | Epsilon: 0.8266 | Memory:   2957
[Episode   39] Score:   0 | Record:   1 | Mean:   0.15 | Epsilon: 0.8224 | Memory:   2992
[Episode   40] Score:   0 | Record:   1 | Mean:   0.15 | Epsilon: 0.8183 | Memory:   3020
